Date,Symbol,Close
7/25/2016,NVDA,55.68
7/26/2016,NVDA,56.63
7/27/2016,NVDA,56.06
7/28/2016,NVDA,56.18
7/29/2016,NVDA,57.1
8/1/2016,NVDA,56.73
8/2/2016,NVDA,56.04
8/3/2016,NVDA,56.19
8/4/2016,NVDA,57.23
8/5/2016,NVDA,58.2
8/8/2016,NVDA,58.74
8/9/2016,NVDA,58.89
8/10/2016,NVDA,58.51
8/11/2016,NVDA,59.7
8/12/2016,NVDA,63.04
8/15/2016,NVDA,62.98
8/16/2016,NVDA,62.6
8/17/2016,NVDA,61.15
8/18/2016,NVDA,62.1
8/19/2016,NVDA,62.26
8/22/2016,NVDA,62.52
8/23/2016,NVDA,62.91
8/24/2016,NVDA,61.94
8/25/2016,NVDA,61.53
8/26/2016,NVDA,62.03
8/29/2016,NVDA,61.99
8/30/2016,NVDA,61.63
8/31/2016,NVDA,61.34
9/1/2016,NVDA,63.15
9/2/2016,NVDA,62.53
9/6/2016,NVDA,63.12
9/7/2016,NVDA,62.19
9/8/2016,NVDA,62.64
9/9/2016,NVDA,59.52
9/12/2016,NVDA,60.75
9/13/2016,NVDA,59.87
9/14/2016,NVDA,60.4
9/15/2016,NVDA,62.69
9/16/2016,NVDA,62.84
9/19/2016,NVDA,63.67
9/20/2016,NVDA,63.09
9/21/2016,NVDA,64.86
9/22/2016,NVDA,65.02
9/23/2016,NVDA,64.95
9/26/2016,NVDA,64.34
9/27/2016,NVDA,66.54
9/28/2016,NVDA,66.78
9/29/2016,NVDA,67.4
9/30/2016,NVDA,68.52
10/3/2016,NVDA,68.45
10/4/2016,NVDA,68.3
10/5/2016,NVDA,68.23
10/6/2016,NVDA,67.34
10/7/2016,NVDA,66.85
10/10/2016,NVDA,67.1
10/11/2016,NVDA,66.13
10/12/2016,NVDA,66.43
10/13/2016,NVDA,65.35
10/14/2016,NVDA,65.99
10/17/2016,NVDA,65.61
10/18/2016,NVDA,66.61
10/19/2016,NVDA,66.47
10/20/2016,NVDA,67.73
10/21/2016,NVDA,67.54
10/24/2016,NVDA,70.71
10/25/2016,NVDA,71.87
10/26/2016,NVDA,72.16
10/27/2016,NVDA,70.68
10/28/2016,NVDA,70.56
10/31/2016,NVDA,71.16
11/1/2016,NVDA,69.05
11/2/2016,NVDA,68.76
11/3/2016,NVDA,67.96
11/4/2016,NVDA,67.57
11/7/2016,NVDA,71.27
11/8/2016,NVDA,71.16
11/9/2016,NVDA,69.96
11/10/2016,NVDA,67.77
11/11/2016,NVDA,87.97
11/14/2016,NVDA,83.64
11/15/2016,NVDA,86.19
11/16/2016,NVDA,91.63
11/17/2016,NVDA,92.39
11/18/2016,NVDA,93.36
11/21/2016,NVDA,92.98
11/22/2016,NVDA,93.65
11/23/2016,NVDA,93.97
11/25/2016,NVDA,94.16
11/28/2016,NVDA,94.11
11/29/2016,NVDA,93.25
11/30/2016,NVDA,92.2
12/1/2016,NVDA,87.64
12/2/2016,NVDA,88.45
12/5/2016,NVDA,91.88
12/6/2016,NVDA,93.39
12/7/2016,NVDA,95.07
12/8/2016,NVDA,93.48
12/9/2016,NVDA,91.82
12/12/2016,NVDA,89.59
12/13/2016,NVDA,91.17
12/14/2016,NVDA,96.45
12/15/2016,NVDA,98.71
12/16/2016,NVDA,100.41
12/19/2016,NVDA,101.63
12/20/2016,NVDA,105.17
12/21/2016,NVDA,105.83
12/22/2016,NVDA,107.11
12/23/2016,NVDA,109.78
12/27/2016,NVDA,117.32
12/28/2016,NVDA,109.25
12/29/2016,NVDA,111.43
12/30/2016,NVDA,106.74
1/3/2017,NVDA,102.01
1/4/2017,NVDA,104.39
1/5/2017,NVDA,101.74
1/6/2017,NVDA,103.1
1/9/2017,NVDA,107.28
1/10/2017,NVDA,106.47
1/11/2017,NVDA,105.16
1/12/2017,NVDA,103.44
1/13/2017,NVDA,103.43
1/17/2017,NVDA,101.11
1/18/2017,NVDA,102.95
1/19/2017,NVDA,105.16
1/20/2017,NVDA,104.01
1/23/2017,NVDA,105.09
1/24/2017,NVDA,107.33
1/25/2017,NVDA,107.79
1/26/2017,NVDA,109.65
1/27/2017,NVDA,111.77
1/30/2017,NVDA,110.02
1/31/2017,NVDA,109.18
2/1/2017,NVDA,113.95
2/2/2017,NVDA,115.39
2/3/2017,NVDA,114.38
2/6/2017,NVDA,117.31
2/7/2017,NVDA,119.13
2/8/2017,NVDA,118.61
2/9/2017,NVDA,116.38
2/10/2017,NVDA,113.62
2/13/2017,NVDA,108.38
2/14/2017,NVDA,108.78
2/15/2017,NVDA,109
2/16/2017,NVDA,107.25
2/17/2017,NVDA,107.23
2/21/2017,NVDA,111.07
2/22/2017,NVDA,110.76
2/23/2017,NVDA,100.49
2/24/2017,NVDA,101.46
2/27/2017,NVDA,104.41
2/28/2017,NVDA,101.48
3/1/2017,NVDA,102.79
3/2/2017,NVDA,99
3/3/2017,NVDA,98.43
3/6/2017,NVDA,97.67
3/7/2017,NVDA,98.74
3/8/2017,NVDA,98.56
3/9/2017,NVDA,98.54
3/10/2017,NVDA,99.12
3/13/2017,NVDA,101.85
3/14/2017,NVDA,101.78
3/15/2017,NVDA,102.55
3/16/2017,NVDA,103.81
3/17/2017,NVDA,106.07
3/20/2017,NVDA,109.45
3/21/2017,NVDA,105.91
3/22/2017,NVDA,108.07
3/23/2017,NVDA,107.09
3/24/2017,NVDA,107.47
3/27/2017,NVDA,108.25
3/28/2017,NVDA,107.69
3/29/2017,NVDA,107.34
3/30/2017,NVDA,109.4
3/31/2017,NVDA,108.93
4/3/2017,NVDA,108.38
4/4/2017,NVDA,100.78
4/5/2017,NVDA,100.03
4/6/2017,NVDA,100.76
4/7/2017,NVDA,100.33
4/10/2017,NVDA,97.77
4/11/2017,NVDA,98.12
4/12/2017,NVDA,97.31
4/13/2017,NVDA,95.49
4/17/2017,NVDA,99.23
4/18/2017,NVDA,99.29
4/19/2017,NVDA,99.68
4/20/2017,NVDA,101.26
4/21/2017,NVDA,101.68
4/24/2017,NVDA,102.95
4/25/2017,NVDA,104.74
4/26/2017,NVDA,104.02
4/27/2017,NVDA,105.64
4/28/2017,NVDA,104.3
5/1/2017,NVDA,106.64
5/2/2017,NVDA,103.48
5/3/2017,NVDA,104.25
5/4/2017,NVDA,103.85
5/5/2017,NVDA,103.86
5/8/2017,NVDA,102.77
5/9/2017,NVDA,102.94
5/10/2017,NVDA,121.29
5/11/2017,NVDA,126.5
5/12/2017,NVDA,127.89
5/15/2017,NVDA,134.31
5/16/2017,NVDA,136.81
5/17/2017,NVDA,127.72
5/18/2017,NVDA,133.07
5/19/2017,NVDA,136
5/22/2017,NVDA,138.9
5/23/2017,NVDA,137.03
5/24/2017,NVDA,138.57
5/25/2017,NVDA,138.26
5/26/2017,NVDA,141.84
5/30/2017,NVDA,144.87
5/31/2017,NVDA,144.35
6/1/2017,NVDA,144.36
6/2/2017,NVDA,143.64
6/5/2017,NVDA,148.01
6/6/2017,NVDA,147.34
6/7/2017,NVDA,149.12
6/8/2017,NVDA,159.94
6/9/2017,NVDA,149.6
6/12/2017,NVDA,149.97
6/13/2017,NVDA,151.4
6/14/2017,NVDA,151.72
6/15/2017,NVDA,152.37
6/16/2017,NVDA,151.62
6/19/2017,NVDA,157.32
6/20/2017,NVDA,157.09
6/21/2017,NVDA,159.47
6/22/2017,NVDA,158.37
6/23/2017,NVDA,153.83
6/26/2017,NVDA,152.15
6/27/2017,NVDA,146.58
6/28/2017,NVDA,151.75
6/29/2017,NVDA,146.68
6/30/2017,NVDA,144.56
7/3/2017,NVDA,139.33
7/5/2017,NVDA,143.05
7/6/2017,NVDA,143.48
7/7/2017,NVDA,146.76
7/10/2017,NVDA,153.7
7/11/2017,NVDA,155.88
7/12/2017,NVDA,162.51
