Date,PWR
5/24/2017 16:00,31.28
5/25/2017 16:00,31.01
5/26/2017 16:00,31.07
5/30/2017 16:00,30.75
5/31/2017 16:00,30.66
6/1/2017 16:00,31.37
6/2/2017 16:00,31.6
6/5/2017 16:00,31.26
6/6/2017 16:00,31.24
6/7/2017 16:00,31.4
6/8/2017 16:00,31.81
6/9/2017 16:00,32.71
6/12/2017 16:00,32.66
6/13/2017 16:00,33
6/14/2017 16:00,32.46
6/15/2017 16:00,31.98
6/16/2017 16:00,32.06
6/19/2017 16:00,32.4
6/20/2017 16:00,31.77
6/21/2017 16:00,31.22
6/22/2017 16:00,31.21
6/23/2017 16:00,31.62
6/26/2017 16:00,32.29
6/27/2017 16:00,32.16
6/28/2017 16:00,32.26
6/29/2017 16:00,31.88
6/30/2017 16:00,32.92
7/3/2017 16:00,32.67
7/5/2017 16:00,32.67
7/6/2017 16:00,32.76
7/7/2017 16:00,33.05
7/10/2017 16:00,33.39
7/11/2017 16:00,33.41
7/12/2017 16:00,33.75
7/13/2017 16:00,34.37
7/14/2017 16:00,34.23
7/17/2017 16:00,33.8
7/18/2017 16:00,33.08
7/19/2017 16:00,33.37
7/20/2017 16:00,32.75
7/21/2017 16:00,33.05
7/24/2017 16:00,33.61
7/25/2017 16:00,34.17
7/26/2017 16:00,33.77
7/27/2017 16:00,33.94
7/28/2017 16:00,33.58
7/31/2017 16:00,33.73
8/1/2017 16:00,34.44
8/2/2017 16:00,34.22
8/3/2017 16:00,35.7
8/4/2017 16:00,36.5
8/7/2017 16:00,36.29
8/8/2017 16:00,36.54
8/9/2017 16:00,36.68
8/10/2017 16:00,35.68
8/11/2017 16:00,35.61
8/14/2017 16:00,35.62
8/15/2017 16:00,35.33
8/16/2017 16:00,34.27
8/17/2017 16:00,33.83
8/18/2017 16:00,34.04
8/21/2017 16:00,33.78
8/22/2017 16:00,34.3
8/23/2017 16:00,34.42
8/24/2017 16:00,34.41
8/25/2017 16:00,34.61
8/28/2017 16:00,34.89
8/29/2017 16:00,35.26
8/30/2017 16:00,35.38
8/31/2017 16:00,35.93
9/1/2017 16:00,36.02
9/5/2017 16:00,35.78
9/6/2017 16:00,35.56
9/7/2017 16:00,35.5
9/8/2017 16:00,36.13
9/11/2017 16:00,36.16
9/12/2017 16:00,36.54
9/13/2017 16:00,36.27
9/14/2017 16:00,36.46
9/15/2017 16:00,36.3
9/18/2017 16:00,36.34
9/19/2017 16:00,36.77
9/20/2017 16:00,36.97
9/21/2017 16:00,37.06
9/22/2017 16:00,37.12
9/25/2017 16:00,37.31
9/26/2017 16:00,37.51
9/27/2017 16:00,37.59
9/28/2017 16:00,37.52
9/29/2017 16:00,37.37
10/2/2017 16:00,37.42
10/3/2017 16:00,37.49
10/4/2017 16:00,37.14
10/5/2017 16:00,37.5
10/6/2017 16:00,37.54
10/9/2017 16:00,37.37
10/10/2017 16:00,37.36
10/11/2017 16:00,37.52
10/12/2017 16:00,37.5
10/13/2017 16:00,37.29
10/16/2017 16:00,37.84
10/17/2017 16:00,37.45
10/18/2017 16:00,37.4
10/19/2017 16:00,37.17
10/20/2017 16:00,37.45
10/23/2017 16:00,37.48
10/24/2017 16:00,37.88
10/25/2017 16:00,37.37
10/26/2017 16:00,37.83
10/27/2017 16:00,37.98
10/30/2017 16:00,38.06
10/31/2017 16:00,37.73
11/1/2017 16:00,37.34
11/2/2017 16:00,36.56
11/3/2017 16:00,35.66
11/6/2017 16:00,36.31
11/7/2017 16:00,36.21
11/8/2017 16:00,36.34
11/9/2017 16:00,35.51
11/10/2017 16:00,35.84
11/13/2017 16:00,36.72
11/14/2017 16:00,35.75
11/15/2017 16:00,35.35
11/16/2017 16:00,35.97
11/17/2017 16:00,36.01
11/20/2017 16:00,36.47
11/21/2017 16:00,36.89
11/22/2017 16:00,36.47
11/24/2017 13:00,36.13
11/27/2017 16:00,36.16
11/28/2017 16:00,37.06
11/29/2017 16:00,37.65
11/30/2017 16:00,37.9
12/1/2017 16:00,37.39
12/4/2017 16:00,38.8
12/5/2017 16:00,38.42
12/6/2017 16:00,38.29
12/7/2017 16:00,38.45
12/8/2017 16:00,39.4
12/11/2017 16:00,39.17
12/12/2017 16:00,39.12
12/13/2017 16:00,38.29
12/14/2017 16:00,37.44
12/15/2017 16:00,37.72
12/18/2017 16:00,38.38
12/19/2017 16:00,37.8
12/20/2017 16:00,38.54
12/21/2017 16:00,39.4
12/22/2017 16:00,39.41
12/26/2017 16:00,39.5
12/27/2017 16:00,39.48
12/28/2017 16:00,39.33
12/29/2017 16:00,39.11
1/2/2018 16:00,39.24
1/3/2018 16:00,39.55
1/4/2018 16:00,39.86
1/5/2018 16:00,39.51
1/8/2018 16:00,39.1
1/9/2018 16:00,38.64
1/10/2018 16:00,38.14
1/11/2018 16:00,39.07
1/12/2018 16:00,39.44
1/16/2018 16:00,38.69
1/17/2018 16:00,38.73
1/18/2018 16:00,38.53
1/19/2018 16:00,38.99
1/22/2018 16:00,39.09
1/23/2018 16:00,38.87
1/24/2018 16:00,38.97
1/25/2018 16:00,38.89
1/26/2018 16:00,39.14
1/29/2018 16:00,38.87
1/30/2018 16:00,38.4
1/31/2018 16:00,38.49
2/1/2018 16:00,38.26
2/2/2018 16:00,36.09
2/5/2018 16:00,34.4
2/6/2018 16:00,35.18
2/7/2018 16:00,34.45
2/8/2018 16:00,33.51
2/9/2018 16:00,33.53
2/12/2018 16:00,33.98
2/13/2018 16:00,33.72
2/14/2018 16:00,34.43
2/15/2018 16:00,34.83
2/16/2018 16:00,35.07
2/20/2018 16:00,34.95
2/21/2018 16:00,34.84
2/22/2018 16:00,35.9
2/23/2018 16:00,35.67
2/26/2018 16:00,35.66
2/27/2018 16:00,35.04
2/28/2018 16:00,34.44
3/1/2018 16:00,33.86
3/2/2018 16:00,34.24
3/5/2018 16:00,34.22
3/6/2018 16:00,34.68
3/7/2018 16:00,35.17
3/8/2018 16:00,35.17
3/9/2018 16:00,35.99
3/12/2018 16:00,35.96
3/13/2018 16:00,35.46
3/14/2018 16:00,35.07
3/15/2018 16:00,35
3/16/2018 16:00,35.36
3/19/2018 16:00,34.94
3/20/2018 16:00,35.1
3/21/2018 16:00,35.82
3/22/2018 16:00,34.39
3/23/2018 16:00,33.21
3/26/2018 16:00,34.25
3/27/2018 16:00,34
3/28/2018 16:00,33.87
3/29/2018 16:00,34.35
4/2/2018 16:00,33.53
4/3/2018 16:00,34.17
4/4/2018 16:00,34.51
4/5/2018 16:00,34.6
4/6/2018 16:00,33.72
4/9/2018 16:00,33.46
4/10/2018 16:00,34.17
4/11/2018 16:00,33.98
4/12/2018 16:00,34.31
4/13/2018 16:00,34.15
4/16/2018 16:00,34.54
4/17/2018 16:00,34.68
4/18/2018 16:00,34.58
4/19/2018 16:00,34.28
4/20/2018 16:00,33.81
4/23/2018 16:00,33.49
4/24/2018 16:00,32.71
4/25/2018 16:00,32.78
4/26/2018 16:00,32.83
4/27/2018 16:00,32.92
4/30/2018 16:00,32.5
5/1/2018 16:00,32.81
5/2/2018 16:00,32.81
5/3/2018 16:00,34.06
5/4/2018 16:00,34.95
5/7/2018 16:00,35.14
5/8/2018 16:00,35.53
5/9/2018 16:00,36.08
5/10/2018 16:00,36.26
5/11/2018 16:00,36.38
5/14/2018 16:00,36.49
5/15/2018 16:00,36.5
5/16/2018 16:00,36.74
5/17/2018 16:00,36.72
5/18/2018 16:00,36.62
5/21/2018 16:00,36.92
5/22/2018 16:00,36.19
5/23/2018 16:00,35.63
5/24/2018 16:00,35.6
5/25/2018 16:00,35.59
5/29/2018 16:00,35.62
5/30/2018 16:00,36.29
5/31/2018 16:00,36.01
6/1/2018 16:00,36.02
6/4/2018 16:00,36.23
6/5/2018 16:00,36.95
6/6/2018 16:00,37.1
6/7/2018 16:00,37.14
6/8/2018 16:00,37.11
6/11/2018 16:00,36.82
6/12/2018 16:00,36.84
6/13/2018 16:00,36.74
6/14/2018 16:00,35.92
6/15/2018 16:00,35.6
6/18/2018 16:00,35.75
6/19/2018 16:00,35.41
6/20/2018 16:00,35.39
6/21/2018 16:00,34.74
6/22/2018 16:00,34.18
6/25/2018 16:00,33.86
6/26/2018 16:00,33.84
6/27/2018 16:00,33.4
6/28/2018 16:00,33.25
6/29/2018 16:00,33.4
7/2/2018 16:00,33.56
7/3/2018 13:00,33.65
7/5/2018 16:00,33.75
7/6/2018 16:00,33.84
7/9/2018 16:00,34.24
7/10/2018 16:00,34.34
7/11/2018 16:00,33.61
7/12/2018 16:00,33.54
7/13/2018 16:00,33.68
7/16/2018 16:00,33.28
7/17/2018 16:00,33.19
